definition,noun,noun_synset,hypernym,hypernym_synset,hyponym,hyponym_synset,similarity_noun_hyponym_st,similarity_noun_hyponym_transE,similarity_noun_hyponym_rdf2vec,similarity_noun_hyponym_transE_new,similarity_noun_hypernym_st,similarity_noun_hypernym_transE,similarity_noun_hypernym_rdf2vec,similarity_noun_hypernym_transE_new
a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,dog,oewn-02086723-n,canine,oewn-02085998-n,puppy,oewn-01325095-n,0.44162804,0.24050116640771152,0.940834939479828,0.3224728058978863,0.38414764,0.5405915258232993,0.888140082359314,0.45672486013904307
feline mammal usually having thick soft fur and no ability to roar,cat,oewn-02124272-n,feline,oewn-02123649-n,domestic cat,oewn-02124460-n,0.41440868,-0.1432409445542354,0.878588855266571,0.3496312418792255,0.36247402,0.46593324472556275,0.9600446820259094,0.5045780873449599
solid-hoofed herbivorous quadruped domesticated since prehistoric times,horse,oewn-02377103-n,equine,oewn-02376801-n,roan,oewn-02377954-n,0.36358917,0.2128459547031348,0.7581609487533569,0.4179249042649742,0.5136434,0.4992555925091081,0.7733450531959534,0.604714575351187
female of domestic cattle:,cow,oewn-02406106-n,cattle,oewn-02405077-n,springer,oewn-02406296-n,0.56326824,0.455789959484381,0.9865515828132628,0.50408257520181,0.65694433,0.47096579198597066,0.9906452894210817,0.4570370546248475
domestic swine,pig,oewn-02398058-n,swine,oewn-02397655-n,porker,oewn-02398583-n,0.6398581,0.4655446503464963,0.976576030254364,0.46677613745523305,0.36379552,0.3329016127315645,0.9812033772468568,0.47912650330699125
woolly usually horned ruminant mammal related to the goat,sheep,oewn-02414351-n,bovid,oewn-02403683-n,ewe,oewn-02414645-n,0.6925223,0.33744192601514755,0.9773890972137452,0.38512212271305296,0.3549897,0.4507156726603948,0.9268453121185304,0.4398725177647778
any of numerous agile ruminants related to sheep but having a beard and straight horns,goat,oewn-02419165-n,bovid,oewn-02403683-n,kid,oewn-02419466-n,0.49262184,0.355377325300377,0.9822940230369568,0.5383360803103376,0.35139847,0.47459168814669644,0.9293791651725768,0.45180504819859374
a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,chicken,oewn-01794266-n,domestic fowl,oewn-01792381-n,chick,oewn-01794683-n,0.6332707,0.301498934399843,0.8821883797645569,0.4230476482714598,0.7953973,0.4708265672807946,0.9139043688774108,0.4551846529409677
small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,duck,oewn-01848972-n,anseriform bird,oewn-01848118-n,drake,oewn-01849641-n,0.43043894,0.45490287171818916,0.8421245813369751,0.4168999313134168,0.5809946,0.5748379178725214,0.8903811573982239,0.42268480094492344
web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,goose,oewn-01858313-n,anseriform bird,oewn-01848118-n,gosling,oewn-01858713-n,0.5365165,0.41364804029758206,0.8310105204582214,0.39590021701376116,0.55863345,0.41715675542655634,0.9108052849769592,0.40145035416178426
