noun,noun_synset,definition,hypernym,hypernym_synset,hypernym_definition,hyponym,hyponym_synset,hyponym_definition
dog,oewn-02086723-n,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,canine,oewn-02085998-n,any of various fissiped mammals with nonretractile claws and typically long muzzles,puppy,oewn-01325095-n,a young dog
cat,oewn-02124272-n,feline mammal usually having thick soft fur and no ability to roar,feline,oewn-02123649-n,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws",domestic cat,oewn-02124460-n,any domesticated member of the genus Felis
horse,oewn-02377103-n,solid-hoofed herbivorous quadruped domesticated since prehistoric times,equine,oewn-02376801-n,hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck,roan,oewn-02377954-n,a horse having a brownish coat thickly sprinkled with white or gray
cow,oewn-02406106-n,female of domestic cattle:,cattle,oewn-02405077-n,domesticated bovine animals as a group regardless of sex or age,springer,oewn-02406296-n,a cow about to give birth
pig,oewn-02398058-n,domestic swine,swine,oewn-02397655-n,stout-bodied short-legged omnivorous animals,porker,oewn-02398583-n,a pig fattened to provide meat
sheep,oewn-02414351-n,woolly usually horned ruminant mammal related to the goat,bovid,oewn-02403683-n,hollow-horned ruminants,ewe,oewn-02414645-n,female sheep
goat,oewn-02419165-n,any of numerous agile ruminants related to sheep but having a beard and straight horns,bovid,oewn-02403683-n,hollow-horned ruminants,kid,oewn-02419466-n,young goat
chicken,oewn-01794266-n,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,domestic fowl,oewn-01792381-n,a domesticated gallinaceous bird thought to be descended from the red jungle fowl,chick,oewn-01794683-n,young bird especially of domestic fowl
duck,oewn-01848972-n,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,anseriform bird,oewn-01848118-n,chiefly web-footed swimming birds,drake,oewn-01849641-n,adult male of a wild or domestic duck
goose,oewn-01858313-n,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,anseriform bird,oewn-01848118-n,chiefly web-footed swimming birds,gosling,oewn-01858713-n,young goose
turkey,oewn-01796799-n,large gallinaceous bird with fan-shaped tail; widely domesticated for food,domestic fowl,oewn-01792381-n,a domesticated gallinaceous bird thought to be descended from the red jungle fowl,turkey cock,oewn-01796985-n,male turkey
rabbit,oewn-02326697-n,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,leporid,oewn-02326554-n,rabbits and hares,rabbit ears,oewn-02327083-n,the long ears of a rabbit
mouse,oewn-02332897-n,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,rodent,oewn-02332053-n,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,house mouse,oewn-02334808-n,brownish-grey Old World mouse now a common household pest worldwide
rat,oewn-02333698-n,any of various long-tailed rodents similar to but larger than a mouse,rodent,oewn-02332053-n,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,pocket rat,oewn-02333961-n,any of various rodents with cheek pouches
hamster,oewn-02345537-n,short-tailed Old World burrowing rodent with large cheek pouches,rodent,oewn-02332053-n,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,Eurasian hamster,oewn-02345710-n,a variety of hamster common to Europe and Asia
donkey,oewn-02392211-n,domestic beast of burden descended from the African wild ass; patient but stubborn,ass,oewn-02391998-n,hardy and sure-footed animal smaller and with longer ears than the horse,burro,oewn-02392431-n,small donkey used as a pack animal
bison,oewn-02413155-n,any of several large humped bovids having shaggy manes and large heads and short horns,bovid,oewn-02403683-n,hollow-horned ruminants,American bison,oewn-02413348-n,large shaggy-haired brown bison of North American plains
deer,oewn-02432691-n,distinguished from Bovidae by the male's having solid deciduous antlers,ruminant,oewn-02401652-n,any of various cud-chewing hoofed mammals having a stomach divided into four (occasionally three) compartments,pricket,oewn-02433394-n,male deer in his second year
reindeer,oewn-02436556-n,Arctic deer with large antlers in both sexes; called ‘reindeer’ in Eurasia and ‘caribou’ in North America,deer,oewn-02432691-n,distinguished from Bovidae by the male's having solid deciduous antlers,woodland caribou,oewn-02436821-n,any of several large caribou living in coniferous forests of southern Canada; in some classifications included in the species Rangifer tarandus
antelope,oewn-02422442-n,"graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles, springboks, impalas, addax, gerenuks, blackbucks, dik-diks",bovid,oewn-02403683-n,hollow-horned ruminants,blackbuck,oewn-02423155-n,common Indian antelope with a dark back and spiral horns
gazelle,oewn-02425668-n,small swift graceful antelope of Africa and Asia having lustrous eyes,antelope,oewn-02422442-n,"graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles, springboks, impalas, addax, gerenuks, blackbucks, dik-diks",Thomson's gazelle,oewn-02425864-n,East African gazelle; the smallest gazelle
zebra,oewn-02393701-n,any of several fleet black-and-white striped African equines,equine,oewn-02376801-n,hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck,common zebra,oewn-02393886-n,of the plains of central and eastern Africa
giraffe,oewn-02441664-n,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa,ruminant,oewn-02401652-n,any of various cud-chewing hoofed mammals having a stomach divided into four (occasionally three) compartments,okapi,oewn-02442029-n,similar to the giraffe but smaller with much shorter neck and stripe on the legs
elephant,oewn-02506148-n,five-toed pachyderm,proboscidean,oewn-02505758-n,massive herbivorous mammals having tusks and a long trunk,rogue elephant,oewn-02506387-n,a wild and vicious elephant separated from the herd
rhinoceros,oewn-02394646-n,massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout,odd-toed ungulate,oewn-02375988-n,placental mammals having hooves with an odd number of toes on each foot,Indian rhinoceros,oewn-02395086-n,having one horn
lion,oewn-02131817-n,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,big cat,oewn-02130460-n,any of several large cats typically able to roar and living in the wild,lion cub,oewn-01325389-n,a young lion
tiger,oewn-02132256-n,large feline of forests in most of Asia having a tawny coat with black stripes; endangered,big cat,oewn-02130460-n,any of several large cats typically able to roar and living in the wild,tiger cub,oewn-01325559-n,a young tiger
leopard,oewn-02131037-n,large feline of African and Asian forests usually having a tawny coat with black spots,big cat,oewn-02130460-n,any of several large cats typically able to roar and living in the wild,leopardess,oewn-02131250-n,female leopard
bear,oewn-02134305-n,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,carnivore,oewn-02077948-n,a terrestrial or aquatic flesh-eating mammal,bear cub,oewn-01325474-n,a young bear
wolf,oewn-02116752-n,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,canine,oewn-02085998-n,any of various fissiped mammals with nonretractile claws and typically long muzzles,wolf pup,oewn-01324999-n,a young wolf
